ProductID,ProductName,Category,SubCategory,Brand,UnitOfMeasure,UnitPrice,CostPrice,SupplierID,LaunchDate,IsActive
PRD-00080,Lipton Milk Natural 497g,Dairy & Eggs,Milk,Lipton,Bottle,105.13,59.87,SUP-015,2024-01-30,0
PRD-00081,Pringles Milk Large 403g,Dairy & Eggs,Milk,Pringles,Box,9.59,5.69,SUP-027,2019-10-08,1
PRD-00082,Al Safi Milk Large 417g,Dairy & Eggs,Milk,Al Safi,Can,129.05,79.67,SUP-017,2022-07-24,1
PRD-00083,Binzagr Milk Small 337g,Dairy & Eggs,Milk,Binzagr,Can,18.4,13.14,SUP-027,2023-08-29,1
PRD-00084,Colgate Milk Premium 133g,Dairy & Eggs,Milk,Colgate,Gram,123.68,88.24,SUP-010,2024-05-19,1
PRD-00085,Alpro Cheese Premium 256g,Dairy & Eggs,Cheese,Alpro,Pack,88.43,61.79,SUP-032,2022-11-30,1
PRD-00086,Al Karamah Cheese Large 138g,Dairy & Eggs,Cheese,Al Karamah,KG,71.21,42.57,SUP-021,2018-08-28,1
PRD-00087,Monster Cheese Organic 148g,Dairy & Eggs,Cheese,Monster,Box,81.64,47.94,SUP-036,2024-11-01,1
PRD-00088,Nestle Cheese Family 559g,Dairy & Eggs,Cheese,Nestle,Gram,60.15,43.18,SUP-049,2019-10-16,1
PRD-00089,Coca Cola Cheese Family 738g,Dairy & Eggs,Cheese,Coca Cola,Bottle,22.19,12.25,SUP-002,2019-07-05,1
PRD-00090,P&G Cheese Classic 320g,Dairy & Eggs,Cheese,P&G,Bottle,87.11,65.5,SUP-015,2018-03-31,1
PRD-00091,Coca Cola Cheese Value 551g,Dairy & Eggs,Cheese,Coca Cola,Pack,39.91,28.69,SUP-008,2025-07-08,1
PRD-00092,Colgate Cheese Premium 548g,Dairy & Eggs,Cheese,Colgate,Liter,69.8,40.67,SUP-031,2024-11-02,0
PRD-00093,Doritos Cheese Organic 355g,Dairy & Eggs,Cheese,Doritos,Each,113.26,66.81,SUP-042,2022-02-25,1
PRD-00094,Nadec Cheese Family 336g,Dairy & Eggs,Cheese,Nadec,KG,14.04,10.36,SUP-011,2020-08-20,1
PRD-00095,Red Bull Cheese Family 147g,Dairy & Eggs,Cheese,Red Bull,Box,42.45,28.62,SUP-030,2018-10-06,0
PRD-00096,Pampers Cheese Premium 193g,Dairy & Eggs,Cheese,Pampers,Can,111.86,79.99,SUP-011,2025-06-04,1
PRD-00097,Kit Kat Cheese Organic 159g,Dairy & Eggs,Cheese,Kit Kat,Can,10.19,7.51,SUP-047,2022-08-22,1
PRD-00098,Al Muhaidib Cheese Value 847g,Dairy & Eggs,Cheese,Al Muhaidib,Pack,132.76,98.41,SUP-031,2025-03-15,1
PRD-00099,Oreo Cheese Natural 208g,Dairy & Eggs,Cheese,Oreo,Box,124.16,94.72,SUP-004,2022-05-02,1
PRD-00100,Al Faisaliah Cheese Gold 993g,Dairy & Eggs,Cheese,Al Faisaliah,Can,82.39,48.23,SUP-044,2023-04-06,1
PRD-00101,Lay's Cheese Classic 284g,Dairy & Eggs,Cheese,Lay's,Box,77.1,48.02,SUP-003,2024-07-23,1
PRD-00102,Unilever Cheese Gold 388g,Dairy & Eggs,Cheese,Unilever,KG,60.64,46.11,SUP-047,2019-08-27,1
PRD-00103,Mazola Cheese Large 562g,Dairy & Eggs,Cheese,Mazola,Pack,39.24,28.75,SUP-007,2019-06-17,1
PRD-00104,Lusine Cheese Classic 643g,Dairy & Eggs,Cheese,Lusine,Can,146.95,113.47,SUP-003,2020-08-23,1
PRD-00105,Johnson & Johnson Yogurt 151g,Dairy & Eggs,Yogurt,Johnson & Johnson,Pack,121.58,79.58,SUP-004,2023-06-09,1
PRD-00106,Carrefour Yogurt Large 712g,Dairy & Eggs,Yogurt,Carrefour,Box,7.82,4.94,SUP-038,2024-12-12,0
PRD-00107,Lipton Yogurt Family 712g,Dairy & Eggs,Yogurt,Lipton,Gram,104.93,75.46,SUP-049,2019-03-25,1
PRD-00108,KDD Yogurt Family 604g,Dairy & Eggs,Yogurt,KDD,Liter,27.97,20.2,SUP-016,2020-06-21,0
PRD-00109,Quaker Yogurt Premium 469g,Dairy & Eggs,Yogurt,Quaker,KG,29.31,17.13,SUP-008,2022-03-19,1
PRD-00110,Unilever Yogurt Small 705g,Dairy & Eggs,Yogurt,Unilever,Liter,102.67,76.54,SUP-013,2020-03-10,1
PRD-00111,Carrefour Yogurt Large 307g,Dairy & Eggs,Yogurt,Carrefour,KG,82.09,50.71,SUP-029,2018-03-17,1
PRD-00112,Al Jazira Yogurt Value 620g,Dairy & Eggs,Yogurt,Al Jazira,Gram,126.49,69.91,SUP-030,2018-03-27,1
PRD-00113,Almarai Yogurt 799g,Dairy & Eggs,Yogurt,Almarai,Liter,129.38,93.95,SUP-044,2021-12-01,1
PRD-00114,Al Rajhi Yogurt Organic 294g,Dairy & Eggs,Yogurt,Al Rajhi,Can,115.5,76.72,SUP-040,2020-01-15,1
PRD-00115,Nestle Yogurt Large 263g,Dairy & Eggs,Yogurt,Nestle,Gram,96.11,62.01,SUP-018,2020-01-28,1
PRD-00116,Faber-Castell Yogurt Organic 913g,Dairy & Eggs,Yogurt,Faber-Castell,Box,75.96,44.57,SUP-023,2024-05-12,1
PRD-00117,Saudi Dairy Yogurt Natural 457g,Dairy & Eggs,Yogurt,Saudi Dairy,Pack,64.21,37.41,SUP-039,2019-07-03,1
PRD-00118,Binzagr Yogurt Family 254g,Dairy & Eggs,Yogurt,Binzagr,KG,56.91,32.83,SUP-021,2022-08-09,1
PRD-00119,Al Safi Yogurt Organic 423g,Dairy & Eggs,Yogurt,Al Safi,Liter,24.87,15.01,SUP-016,2023-03-13,1
PRD-00120,Binzagr Yogurt 840g,Dairy & Eggs,Yogurt,Binzagr,KG,62.77,44.11,SUP-012,2018-06-25,1
PRD-00121,Unilever Yogurt Small 738g,Dairy & Eggs,Yogurt,Unilever,Each,13.71,9.58,SUP-036,2021-10-23,1
PRD-00122,Coca Cola Yogurt Classic 328g,Dairy & Eggs,Yogurt,Coca Cola,Each,32.7,18.31,SUP-037,2023-12-30,1
PRD-00123,Hyper Panda Yogurt Classic 938g,Dairy & Eggs,Yogurt,Hyper Panda,Pack,128.69,76.01,SUP-010,2019-01-22,1
PRD-00124,Colgate Yogurt Small 623g,Dairy & Eggs,Yogurt,Colgate,Pack,13.75,9.81,SUP-035,2019-09-22,1
PRD-00125,Al Rifai Yogurt Value 511g,Dairy & Eggs,Yogurt,Al Rifai,KG,64.03,48.38,SUP-007,2024-07-15,1
PRD-00126,Al Osra Yogurt Gold 650g,Dairy & Eggs,Yogurt,Al Osra,Each,50.69,32.42,SUP-020,2019-07-02,1
PRD-00127,Al Safi Yogurt Family 683g,Dairy & Eggs,Yogurt,Al Safi,Can,119.71,78.02,SUP-034,2023-05-22,1
PRD-00128,Samsung Yogurt Organic 894g,Dairy & Eggs,Yogurt,Samsung,Liter,48.77,33.98,SUP-019,2022-06-24,1
PRD-00129,Dettol Yogurt 545g,Dairy & Eggs,Yogurt,Dettol,Box,112.44,67.47,SUP-043,2020-01-09,1
PRD-00130,Hyper Panda Butter & Cream Family 283g,Dairy & Eggs,Butter & Cream,Hyper Panda,Pack,139.7,83.05,SUP-002,2021-06-05,1
PRD-00131,Al Safi Butter & Cream 359g,Dairy & Eggs,Butter & Cream,Al Safi,Bottle,44.44,32.58,SUP-008,2021-02-26,1
PRD-00132,3M Butter & Cream 891g,Dairy & Eggs,Butter & Cream,3M,Pack,77.88,44.45,SUP-040,2023-01-03,1
PRD-00133,Huggies Butter & Cream 724g,Dairy & Eggs,Butter & Cream,Huggies,KG,114.65,78.23,SUP-034,2019-01-31,1
PRD-00134,Al Jazira Butter & Cream Classic 853g,Dairy & Eggs,Butter & Cream,Al Jazira,Each,105.5,59.41,SUP-028,2022-09-26,1
PRD-00135,Saudi Dairy Butter & Cream Family 823g,Dairy & Eggs,Butter & Cream,Saudi Dairy,Each,111.28,62.8,SUP-023,2020-03-16,1
PRD-00136,Al Rifai Butter & Cream Gold 505g,Dairy & Eggs,Butter & Cream,Al Rifai,Bottle,52.16,39.16,SUP-001,2021-08-10,1
PRD-00137,Oreo Butter & Cream Small 350g,Dairy & Eggs,Butter & Cream,Oreo,Bottle,121.92,82.47,SUP-001,2021-12-26,0
PRD-00138,Carrefour Butter & Cream Natural 962g,Dairy & Eggs,Butter & Cream,Carrefour,Box,26.37,18.51,SUP-037,2024-11-09,1
PRD-00139,Nadec Butter & Cream Gold 814g,Dairy & Eggs,Butter & Cream,Nadec,Liter,69.04,40.58,SUP-030,2022-11-22,1
PRD-00140,Apple Butter & Cream Gold 311g,Dairy & Eggs,Butter & Cream,Apple,Liter,36,25.37,SUP-014,2020-05-28,1
PRD-00141,Johnson & Johnson Butter & Cream Classic 617g,Dairy & Eggs,Butter & Cream,Johnson & Johnson,Gram,135.27,94.15,SUP-041,2024-01-31,1
PRD-00142,P&G Eggs Large 544g,Dairy & Eggs,Eggs,P&G,KG,69.59,53.72,SUP-007,2018-01-04,1
PRD-00143,Coca Cola Eggs Gold 910g,Dairy & Eggs,Eggs,Coca Cola,Box,25.37,15.13,SUP-015,2024-10-29,1
PRD-00144,KDD Eggs Gold 848g,Dairy & Eggs,Eggs,KDD,Bottle,101.77,64.15,SUP-012,2023-03-04,0
PRD-00145,Danone Eggs Gold 588g,Dairy & Eggs,Eggs,Danone,Gram,128.78,91.81,SUP-049,2018-03-23,1
PRD-00146,3M Eggs Value 494g,Dairy & Eggs,Eggs,3M,Pack,134.61,94.18,SUP-028,2025-01-20,1
PRD-00147,Huggies Eggs Premium 750g,Dairy & Eggs,Eggs,Huggies,Pack,88.35,65.99,SUP-018,2020-10-10,1
PRD-00148,Al Rajhi Eggs 555g,Dairy & Eggs,Eggs,Al Rajhi,Liter,21.3,12.29,SUP-033,2019-03-30,1
PRD-00149,Tyson Eggs Gold 758g,Dairy & Eggs,Eggs,Tyson,Bottle,64.3,43.37,SUP-020,2021-12-04,1
PRD-00150,Pepsi Eggs Premium 833g,Dairy & Eggs,Eggs,Pepsi,Box,110.83,78.84,SUP-025,2022-02-18,1
PRD-00151,Al Rifai Eggs Family 726g,Dairy & Eggs,Eggs,Al Rifai,Gram,59.21,40.39,SUP-007,2019-07-21,1
PRD-00152,Kellogg's Eggs 619g,Dairy & Eggs,Eggs,Kellogg's,Box,32.61,20.51,SUP-015,2024-10-03,1
PRD-00153,Al Muhaidib Eggs Premium 882g,Dairy & Eggs,Eggs,Al Muhaidib,Can,66.69,48,SUP-009,2024-06-30,0
PRD-00154,Saudi Dairy Eggs Value 246g,Dairy & Eggs,Eggs,Saudi Dairy,Liter,68.15,44.11,SUP-020,2018-09-15,1
PRD-00155,Mazola Bread Premium 666g,Bakery,Bread,Mazola,Can,5.69,3.53,SUP-044,2023-08-02,1
PRD-00156,Sadia Bread 971g,Bakery,Bread,Sadia,KG,54.41,35,SUP-005,2023-09-17,1
PRD-00157,Pampers Bread Gold 967g,Bakery,Bread,Pampers,KG,92.22,53.11,SUP-030,2020-09-20,1
PRD-00158,Samsung Bread Organic 311g,Bakery,Bread,Samsung,Liter,70.1,50.37,SUP-035,2023-12-25,1
PRD-00159,Unilever Bread 646g,Bakery,Bread,Unilever,Each,45.71,27.93,SUP-021,2018-02-10,0
PRD-00160,Dasani Bread Gold 925g,Bakery,Bread,Dasani,Liter,100.27,75.35,SUP-021,2019-12-02,1
PRD-00161,Samsung Bread Premium 267g,Bakery,Bread,Samsung,Liter,133.43,77.67,SUP-030,2018-06-10,1
PRD-00162,P&G Bread 162g,Bakery,Bread,P&G,Each,45.26,33.64,SUP-012,2021-01-13,0
PRD-00163,Samsung Bread Gold 206g,Bakery,Bread,Samsung,Bottle,39.77,21.88,SUP-035,2024-06-05,0
PRD-00164,Coca Cola Bread Premium 437g,Bakery,Bread,Coca Cola,Can,131.55,81.58,SUP-035,2024-03-07,1
PRD-00165,Al Rajhi Bread Value 368g,Bakery,Bread,Al Rajhi,Pack,90.26,61.13,SUP-027,2020-08-26,1
PRD-00166,Aquafina Bread Value 907g,Bakery,Bread,Aquafina,Gram,139,105.71,SUP-004,2018-01-03,1
PRD-00167,Al Safi Bread Natural 878g,Bakery,Bread,Al Safi,Liter,102.75,58.92,SUP-050,2024-09-09,1
PRD-00168,Binzagr Bread Organic 496g,Bakery,Bread,Binzagr,KG,32.49,18.6,SUP-017,2024-05-04,1
PRD-00169,Huggies Bread Gold 780g,Bakery,Bread,Huggies,KG,67.15,43.6,SUP-037,2018-08-01,0
PRD-00170,Alpro Bread Premium 769g,Bakery,Bread,Alpro,Pack,73.28,49.25,SUP-011,2022-08-25,1
PRD-00171,Saudi Dairy Bread Large 537g,Bakery,Bread,Saudi Dairy,Gram,19.17,14.46,SUP-008,2018-07-14,1
PRD-00172,Cadbury Bread Small 358g,Bakery,Bread,Cadbury,Box,138.04,95.02,SUP-003,2022-05-31,1
PRD-00173,Cadbury Bread Natural 672g,Bakery,Bread,Cadbury,Liter,100.63,74.29,SUP-024,2019-11-07,1
PRD-00174,3M Bread Family 906g,Bakery,Bread,3M,Box,8.2,4.73,SUP-023,2024-11-08,0
PRD-00175,Anker Pastries Organic 535g,Bakery,Pastries,Anker,Box,72.96,43.22,SUP-012,2019-05-27,0
PRD-00176,Almarai Pastries Large 750g,Bakery,Pastries,Almarai,KG,51.44,33.49,SUP-002,2020-11-25,1
PRD-00177,Snickers Pastries Natural 410g,Bakery,Pastries,Snickers,KG,73.36,51.9,SUP-021,2022-03-06,0
PRD-00178,Monster Pastries Organic 274g,Bakery,Pastries,Monster,Pack,91.12,67.89,SUP-015,2023-12-29,1
PRD-00179,Oreo Pastries Classic 240g,Bakery,Pastries,Oreo,KG,3.4,2.13,SUP-023,2020-06-12,1
PRD-00180,Dasani Pastries 157g,Bakery,Pastries,Dasani,Each,105.97,76.34,SUP-026,2019-06-08,1
PRD-00181,3M Pastries Classic 834g,Bakery,Pastries,3M,Can,15.98,9.66,SUP-050,2025-03-06,1
PRD-00182,Al Faisaliah Pastries Value 260g,Bakery,Pastries,Al Faisaliah,Liter,145.56,105.92,SUP-035,2025-03-16,0
PRD-00183,Danone Pastries Organic 669g,Bakery,Pastries,Danone,Gram,38.84,27.73,SUP-021,2024-03-19,1
PRD-00184,Dasani Pastries Small 274g,Bakery,Pastries,Dasani,Gram,29.19,16.99,SUP-021,2019-02-20,1
PRD-00185,Al Foah Pastries Organic 600g,Bakery,Pastries,Al Foah,Gram,146.68,101.42,SUP-029,2018-09-30,1
PRD-00186,Lay's Pastries Gold 972g,Bakery,Pastries,Lay's,Each,137.64,87.2,SUP-039,2019-01-15,1
PRD-00187,Kellogg's Pastries Small 582g,Bakery,Pastries,Kellogg's,Bottle,69.48,50.43,SUP-041,2020-05-29,1
PRD-00188,Dettol Pastries Value 994g,Bakery,Pastries,Dettol,KG,23.32,13.43,SUP-051,2023-03-05,1
PRD-00189,Doritos Pastries 570g,Bakery,Pastries,Doritos,Bottle,88.14,53.75,SUP-039,2020-04-12,1
PRD-00190,Lay's Pastries Gold 647g,Bakery,Pastries,Lay's,Each,36.63,22.02,SUP-008,2023-12-11,1
PRD-00191,Johnson & Johnson Pastries Classic 804g,Bakery,Pastries,Johnson & Johnson,Bottle,14.76,8.93,SUP-042,2023-11-05,0
PRD-00192,Pepsi Pastries Premium 625g,Bakery,Pastries,Pepsi,Can,65.5,43.65,SUP-012,2024-03-30,1
PRD-00193,Doritos Pastries Value 656g,Bakery,Pastries,Doritos,Can,119.67,71.22,SUP-019,2024-03-22,1
PRD-00194,Pepsi Pastries Classic 420g,Bakery,Pastries,Pepsi,Box,49.11,28.39,SUP-045,2021-06-06,1
PRD-00195,Oreo Pastries Large 435g,Bakery,Pastries,Oreo,Bottle,125.18,82.74,SUP-052,2023-09-28,1
PRD-00196,Al Jazira Cakes Classic 464g,Bakery,Cakes,Al Jazira,Liter,85.77,60.7,SUP-013,2021-04-13,1
PRD-00197,Anker Cakes Classic 852g,Bakery,Cakes,Anker,Can,58.77,38.31,SUP-025,2019-10-28,0
PRD-00198,Pampers Cakes Classic 417g,Bakery,Cakes,Pampers,Bottle,61.13,36.57,SUP-026,2019-07-14,0
PRD-00199,Local Farm Cakes Natural 744g,Bakery,Cakes,Local Farm,Liter,87.4,53.34,SUP-022,2018-08-04,0
PRD-00200,Tyson Cakes Premium 806g,Bakery,Cakes,Tyson,Each,87.33,50.28,SUP-035,2024-09-05,0
PRD-00201,Lay's Cakes 117g,Bakery,Cakes,Lay's,Bottle,73.25,54.32,SUP-044,2021-10-26,1
PRD-00202,KDD Cakes Gold 708g,Bakery,Cakes,KDD,Liter,106.38,74.74,SUP-019,2021-03-23,1
PRD-00203,Binzagr Cakes Small 853g,Bakery,Cakes,Binzagr,KG,45.98,31.84,SUP-043,2024-11-24,1
